Site Name,Power (MW),Duration (hours)
Neilston,50,2
Uskmouth,230,2
Indian Queens,47.5,2
Claydon Solar Farm,6,2
Scurf Dyke,8,2
Balnacraig,41.5,1.5
Bredbury,50,2
Whitegate,57,2
Lister Drive,50,2
Coylton,18.5,4
Fairholme,47.5,2
Overhill Farm,44,2
Sambar Power,47.5,2
Gateway Energy Centre 1,320,2
Maldon,40,1
Iron Acton,49.9,2
High Middleton,75,2
Monet's Garden,50,2
Kilwinning / Ardoch Farm,24,1
Gerard Hall,50,1
Fairholme,47.5,2
Bilbo,25,2
Poulton,7.587,2
Drakelow,90,2
West Burton (Bumblebee Solar Farm),49.4,2
Keith Greener Grid Park,18.5,4
Trafford Power Unit 1,260,2
Trafford Power Unit 2,260,2
Trafford Power Unit 3,260,2
Trafford Power Unit 4,260,2
Kilmarnock South Phase 1,200,2
Kilmarnock South Phase 2,100,2
Hirwaun,19,2
Immingham (Econergy),80,2
Braintree,57,2
Mill Hill,57,2.9
Bramley (Temporis),50,2
Kimpton,5.307,2
Gerrards Cross,20,1
Eccles,400,2
Cellarhead,300,2
Castle Gresley,20,2
High Marnham (Tuxford Road),50,1.5
Corpower Battery,8,2
Burwell 2,30,1
Norwich (FPC),25,2
Walpole (Walpole Bank Solar Farm),50,1.5
Dragons Lane,12,4
Carnegie Road (BEL),42,2
Rectory,30,2
Ocker Hill (Eku),99.4,1
Hams Hall,400,2.5
Auchteraw,50,2
Rothienorman,49.9,2
Blackhillock phase 2,100,2
Blackpark,30,1
Frodo,10,2
Welkin Road,20,2
Hyde,30,2
Hyde 2,12,2
Taylor Road,16,1
Hamilton,30,2
Royle Barn Road,35,2
Penwortham (BEL),42,2
Whitebirk,25,2
Darlington,37.6,1.5
Hunterston Grid Complex,400,2
Drumcross,29.9,1
Erskine,30,1
Kincardine Grid Complex,400,2
Leafield,20,2
Cowley (Enso),50,1.5
Thorpe Marsh (Warren Solar Farm),50,1.5
Eggborough Battery A,299,2
Thurrock,150,2
Gateway Energy Centre 2,130,2
Rush Green,50,1.5
Sundon (Foresight),49.5,1
Middleton (Gore Street),200,2
Windyhill Grid Complex,400,2
Berkswell,200,2.5
Monk Fryston (SSE) Phase 1,208,2
Norwich 1,57,2
Norwich 2,50,2
Basingstoke,11.619,2
Fiddlers Ferry,150,2
Soay Solar Farm & Greener Grid Park,150,2
Chapelton,30,2
Fraserburgh,27,2
Drum Farm,50,2
Whaddon Farm,8,2
Sandon Brook,24.175,2
Birch Solar Farm,20.12,2
Harrington Franklin,41.5,1.5
Old Brechin Road,50,2
Darlington Road,27,2
Winterton,95,2
Keadby,80,2
Aikengall IIa,43.5,2
Langford Mill,21,2
Exeter,290,2
Braco (Foresight),50,2
Holmston,50,2
Balbougie,42,1.5
Devilla,300,2
Shoreside,7,1.5
Sale,99.9,2
School Power,4.8,3
Coalburn 1,300,2
Coalburn 2,300,2
Rochdale,50,2
Ardnadam Farm,34,2
Bicker Fen,50,2
Glendevon,35,2
Boat of Garten,30,2
Landulph,50,2
Town Lane,26,2
Thurrock Phase 2a,50,2
Thurrock Phase 2b,100,2
Hunshelf,20,2
Calow Green 3,30,2
Calow Green 4,30,2
Letchworth Power,4.8,3
Newby Power,7.2,3
Melksham (Pario),50,2
Melksham (JBM),30,2
Minety (JBM),28.5,2
Shaftesbury,13,2
Rayleigh,100,2
Corringham,11,1
Hinckley,40,1.5
Thurloxton,35,2
Ninfield,100,2
Worset Lane,36,2
Worcestershire CL,33,2