config_id,power_mw,energy_mwh,Duration,baseline_dam_weight,baseline_idm_weight,baseline_dc_weight,baseline_expected_return,baseline_portfolio_risk,updated_2021_idm_weight,updated_2021_dc_weight,updated_2021_expected_return,updated_2021_portfolio_risk,updated_2022_idm_weight,updated_2022_dc_weight,updated_2022_expected_return,updated_2022_portfolio_risk,updated_2023_idm_weight,updated_2023_dc_weight,updated_2023_expected_return,updated_2023_portfolio_risk
1,10,10,1,0.204,0.000,0.796,726.273,389.261,0.826,0.174,689.992,1273.787,0.756,0.244,713.898,790.636,0.153,0.847,587.572,313.872
2,30,30,1,0.204,0.000,0.796,2178.811,1167.785,0.826,0.174,2069.962,3821.343,0.756,0.244,2141.678,2371.892,0.153,0.847,1762.698,941.614
3,50,50,1,0.204,0.000,0.796,3631.347,1946.311,0.826,0.174,3449.924,6368.878,0.756,0.244,3569.451,3953.135,0.153,0.847,2937.820,1569.346
4,100,100,1,0.204,0.000,0.796,7262.695,3892.622,0.826,0.174,6899.846,12737.756,0.756,0.244,7138.900,7906.272,0.153,0.847,5875.636,3138.700
5,10,15,1.5,0.000,0.285,0.715,764.779,528.183,0.826,0.174,1164.180,2216.734,0.759,0.241,1212.670,1368.651,0.153,0.847,766.601,402.831
6,50,75,1.5,0.000,0.285,0.715,3823.895,2640.915,0.826,0.174,5820.901,11083.677,0.759,0.241,6063.349,6843.251,0.153,0.847,3833.005,2014.150
7,100,150,1.5,0.000,0.285,0.715,7647.789,5281.830,0.826,0.174,11641.802,22167.353,0.759,0.241,12126.697,13686.503,0.153,0.847,7666.011,4028.300
8,10,20,2,0.756,0.244,0.000,855.099,642.270,0.826,0.174,353.627,685.116,0.760,0.240,371.538,422.410,0.153,0.847,194.003,124.919
9,30,60,2,0.756,0.244,0.000,2565.297,1926.806,0.826,0.174,1060.859,2055.302,0.760,0.240,1114.595,1267.211,0.153,0.847,581.995,374.748
10,50,100,2,0.756,0.244,0.000,4275.495,3211.345,0.826,0.174,1768.106,3425.517,0.760,0.240,1857.666,2112.023,0.153,0.847,970.002,624.583
11,100,200,2,0.756,0.244,0.000,8550.989,6422.690,0.826,0.174,3536.204,6851.018,0.760,0.240,3715.326,4224.040,0.153,0.847,1939.996,1249.165
12,200,400,2,0.756,0.244,0.000,17101.979,12845.380,0.826,0.174,7072.407,13702.032,0.760,0.240,7430.655,8448.084,0.153,0.847,3879.998,2498.328
13,300,600,2,0.756,0.244,0.000,25652.969,19268.070,0.826,0.174,10608.618,20553.062,0.760,0.240,11145.990,12672.133,0.153,0.847,5820.003,3747.494
14,400,800,2,0.756,0.244,0.000,34203.958,25690.760,0.826,0.174,14144.821,27404.077,0.760,0.240,14861.313,16896.170,0.153,0.847,7759.999,4996.658
15,5,15,3,1.000,0.000,0.000,594.150,440.750,,,,,,,,,,,,
16,10,30,3,1.000,0.000,0.000,1188.301,881.501,,,,,,,,,,,,
17,15,60,4,0.990,0.000,0.010,2181.049,1677.563,0.824,0.176,31.823,63.288,0.762,0.238,35.823,40.401,0.847,0.153,18.088,13.410