config_id,power_mw,energy_mwh,scenario,dc_price_scale_factor,dam_mean,idm_mean,dc_mean,dam_std,idm_std,dc_std,corr_dam_idm,corr_dam_dc,corr_idm_dc,num_trading_days
1,10,10,base_case,1.0,446.8911,472.6566,797.8669,312.0694,389.1555,403.1331,0.6646,0.7225,0.4759,366
1,10,10,down_35%,0.65,446.8911,472.6566,518.615,312.0694,389.1555,262.0369,0.6646,0.7225,0.4759,366
1,10,10,down_40%,0.6,446.8911,472.6566,478.7186,312.0694,389.1555,241.8784,0.6646,0.7225,0.4759,366
1,10,10,down_50%,0.5,446.8911,472.6566,398.9309,312.0694,389.1555,201.5658,0.6646,0.7225,0.4759,366
1,10,10,down_45%,0.55,446.8911,472.6566,438.8262,312.0694,389.1555,221.722,0.6646,0.7225,0.4759,366
1,10,10,down_55%,0.45,446.8911,472.6566,359.041,312.0694,389.1555,181.4099,0.6646,0.7225,0.4759,366
1,10,10,down_60%,0.4,446.8911,472.6566,319.1464,312.0694,389.1555,161.2511,0.6646,0.7225,0.4759,366
1,10,10,down_65%,0.35,446.8911,472.6566,279.2549,312.0694,389.1555,141.0972,0.6646,0.7225,0.4759,366
1,10,10,down_70%,0.3,446.8911,472.6566,239.3598,312.0694,389.1555,120.9383,0.6646,0.7225,0.4759,366
1,10,10,down_75%,0.25,446.8911,472.6566,199.4669,312.0694,389.1555,100.7821,0.6646,0.7225,0.4759,366
1,10,10,down_80%,0.2,446.8911,472.6566,159.5697,312.0694,389.1555,80.6252,0.6646,0.7225,0.4759,366
1,10,10,down_30%,0.7,446.8911,472.6566,558.5077,312.0694,389.1555,282.1933,0.6646,0.7225,0.4759,366
1,10,10,down_25%,0.75,446.8911,472.6566,598.403,312.0694,389.1555,302.3494,0.6646,0.7225,0.4759,366
1,10,10,down_20%,0.8,446.8911,472.6566,638.2929,312.0694,389.1555,322.5053,0.6646,0.7225,0.4759,366
1,10,10,down_15%,0.85,446.8911,472.6566,678.1872,312.0694,389.1555,342.6642,0.6646,0.7225,0.4759,366
1,10,10,down_10%,0.9,446.8911,472.6566,718.0787,312.0694,389.1555,362.8181,0.6646,0.7225,0.4759,366
1,10,10,down_5%,0.95,446.8911,472.6566,757.974,312.0694,389.1555,382.977,0.6646,0.7225,0.4759,366
1,10,10,up_5%,1.05,446.8911,472.6566,837.7642,312.0694,389.1555,423.29,0.6646,0.7225,0.4759,366
1,10,10,up_10%,1.1,446.8911,472.6566,877.6522,312.0694,389.1555,443.4461,0.6646,0.7225,0.4759,366
1,10,10,up_15%,1.15,446.8911,472.6566,917.5475,312.0694,389.1555,463.6019,0.6646,0.7225,0.4759,366
1,10,10,up_25%,1.25,446.8911,472.6566,997.3339,312.0694,389.1555,503.9152,0.6646,0.7225,0.4759,366
1,10,10,up_20%,1.2,446.8911,472.6566,957.4391,312.0694,389.1555,483.7568,0.6646,0.7225,0.4759,366
1,10,10,up_30%,1.3,446.8911,472.6566,1037.2287,312.0694,389.1555,524.0736,0.6646,0.7225,0.4759,366
2,30,30,base_case,1.0,1340.6728,1417.9703,2393.5984,936.2085,1167.466,1209.3963,0.6646,0.7225,0.4759,366
2,30,30,down_35%,0.65,1340.6728,1417.9703,1555.8415,936.2085,1167.466,786.1085,0.6646,0.7225,0.4759,366
2,30,30,down_40%,0.6,1340.6728,1417.9703,1436.1598,936.2085,1167.466,725.6372,0.6646,0.7225,0.4759,366
2,30,30,down_50%,0.5,1340.6728,1417.9703,1196.8008,936.2085,1167.466,604.6973,0.6646,0.7225,0.4759,366
2,30,30,down_45%,0.55,1340.6728,1417.9703,1316.4801,936.2085,1167.466,665.1664,0.6646,0.7225,0.4759,366
2,30,30,down_55%,0.45,1340.6728,1417.9703,1077.1197,936.2085,1167.466,544.2287,0.6646,0.7225,0.4759,366
2,30,30,down_60%,0.4,1340.6728,1417.9703,957.4391,936.2085,1167.466,483.7568,0.6646,0.7225,0.4759,366
2,30,30,down_65%,0.35,1340.6728,1417.9703,837.7642,936.2085,1167.466,423.29,0.6646,0.7225,0.4759,366
2,30,30,down_70%,0.3,1340.6728,1417.9703,718.0787,936.2085,1167.466,362.8181,0.6646,0.7225,0.4759,366
2,30,30,down_75%,0.25,1340.6728,1417.9703,598.403,936.2085,1167.466,302.3494,0.6646,0.7225,0.4759,366
2,30,30,down_80%,0.2,1340.6728,1417.9703,478.7186,936.2085,1167.466,241.8784,0.6646,0.7225,0.4759,366
2,30,30,down_30%,0.7,1340.6728,1417.9703,1675.521,936.2085,1167.466,846.5794,0.6646,0.7225,0.4759,366
2,30,30,down_25%,0.75,1340.6728,1417.9703,1795.2005,936.2085,1167.466,907.0484,0.6646,0.7225,0.4759,366
2,30,30,down_20%,0.8,1340.6728,1417.9703,1914.8814,936.2085,1167.466,967.5171,0.6646,0.7225,0.4759,366
2,30,30,down_15%,0.85,1340.6728,1417.9703,2034.5623,936.2085,1167.466,1027.9889,0.6646,0.7225,0.4759,366
2,30,30,down_10%,0.9,1340.6728,1417.9703,2154.2372,936.2085,1167.466,1088.4557,0.6646,0.7225,0.4759,366
2,30,30,down_5%,0.95,1340.6728,1417.9703,2273.9224,936.2085,1167.466,1148.9277,0.6646,0.7225,0.4759,366
2,30,30,up_5%,1.05,1340.6728,1417.9703,2513.2825,936.2085,1167.466,1269.8674,0.6646,0.7225,0.4759,366
2,30,30,up_10%,1.1,1340.6728,1417.9703,2632.9604,936.2085,1167.466,1330.3359,0.6646,0.7225,0.4759,366
2,30,30,up_15%,1.15,1340.6728,1417.9703,2752.6413,936.2085,1167.466,1390.8075,0.6646,0.7225,0.4759,366
2,30,30,up_25%,1.25,1340.6728,1417.9703,2992.0014,936.2085,1167.466,1511.7457,0.6646,0.7225,0.4759,366
2,30,30,up_20%,1.2,1340.6728,1417.9703,2872.3199,936.2085,1167.466,1451.2765,0.6646,0.7225,0.4759,366
2,30,30,up_30%,1.3,1340.6728,1417.9703,3111.6828,936.2085,1167.466,1572.215,0.6646,0.7225,0.4759,366
3,50,50,base_case,1.0,2234.4548,2363.2839,3989.335,1560.3473,1945.7768,2015.661,0.6646,0.7225,0.4759,366
3,50,50,down_35%,0.65,2234.4548,2363.2839,2593.0705,1560.3473,1945.7768,1310.1799,0.6646,0.7225,0.4759,366
3,50,50,down_40%,0.6,2234.4548,2363.2839,2393.5984,1560.3473,1945.7768,1209.3963,0.6646,0.7225,0.4759,366
3,50,50,down_50%,0.5,2234.4548,2363.2839,1994.6675,1560.3473,1945.7768,1007.8305,0.6646,0.7225,0.4759,366
3,50,50,down_45%,0.55,2234.4548,2363.2839,2194.1344,1560.3473,1945.7768,1108.6126,0.6646,0.7225,0.4759,366
3,50,50,down_55%,0.45,2234.4548,2363.2839,1795.2005,1560.3473,1945.7768,907.0484,0.6646,0.7225,0.4759,366
3,50,50,down_60%,0.4,2234.4548,2363.2839,1595.7369,1560.3473,1945.7768,806.2646,0.6646,0.7225,0.4759,366
3,50,50,down_65%,0.35,2234.4548,2363.2839,1396.2648,1560.3473,1945.7768,705.481,0.6646,0.7225,0.4759,366
3,50,50,down_70%,0.3,2234.4548,2363.2839,1196.8008,1560.3473,1945.7768,604.6973,0.6646,0.7225,0.4759,366
3,50,50,down_75%,0.25,2234.4548,2363.2839,997.3339,1560.3473,1945.7768,503.9152,0.6646,0.7225,0.4759,366
3,50,50,down_80%,0.2,2234.4548,2363.2839,797.8669,1560.3473,1945.7768,403.1331,0.6646,0.7225,0.4759,366
3,50,50,down_30%,0.7,2234.4548,2363.2839,2792.5344,1560.3473,1945.7768,1410.9636,0.6646,0.7225,0.4759,366
3,50,50,down_25%,0.75,2234.4548,2363.2839,2992.0014,1560.3473,1945.7768,1511.7457,0.6646,0.7225,0.4759,366
3,50,50,down_20%,0.8,2234.4548,2363.2839,3191.4683,1560.3473,1945.7768,1612.5278,0.6646,0.7225,0.4759,366
3,50,50,down_15%,0.85,2234.4548,2363.2839,3390.9322,1560.3473,1945.7768,1713.3115,0.6646,0.7225,0.4759,366
3,50,50,down_10%,0.9,2234.4548,2363.2839,3590.4041,1560.3473,1945.7768,1814.0952,0.6646,0.7225,0.4759,366
3,50,50,down_5%,0.95,2234.4548,2363.2839,3789.868,1560.3473,1945.7768,1914.8789,0.6646,0.7225,0.4759,366
3,50,50,up_5%,1.05,2234.4548,2363.2839,4188.8019,1560.3473,1945.7768,2116.4431,0.6646,0.7225,0.4759,366
3,50,50,up_10%,1.1,2234.4548,2363.2839,4388.2658,1560.3473,1945.7768,2217.2268,0.6646,0.7225,0.4759,366
3,50,50,up_15%,1.15,2234.4548,2363.2839,4587.738,1560.3473,1945.7768,2318.0104,0.6646,0.7225,0.4759,366
3,50,50,up_25%,1.25,2234.4548,2363.2839,4986.6689,1560.3473,1945.7768,2519.5762,0.6646,0.7225,0.4759,366
3,50,50,up_20%,1.2,2234.4548,2363.2839,4787.2019,1560.3473,1945.7768,2418.7941,0.6646,0.7225,0.4759,366
3,50,50,up_30%,1.3,2234.4548,2363.2839,5186.1358,1560.3473,1945.7768,2620.3584,0.6646,0.7225,0.4759,366
4,100,100,base_case,1.0,4468.9094,4726.5683,7978.6702,3120.6948,3891.5533,4031.322,0.6646,0.7225,0.4759,366
4,100,100,down_35%,0.65,4468.9094,4726.5683,5186.1358,3120.6948,3891.5533,2620.3584,0.6646,0.7225,0.4759,366
4,100,100,down_40%,0.6,4468.9094,4726.5683,4787.2019,3120.6948,3891.5533,2418.7941,0.6646,0.7225,0.4759,366
4,100,100,down_50%,0.5,4468.9094,4726.5683,3989.335,3120.6948,3891.5533,2015.661,0.6646,0.7225,0.4759,366
4,100,100,down_45%,0.55,4468.9094,4726.5683,4388.2658,3120.6948,3891.5533,2217.2268,0.6646,0.7225,0.4759,366
4,100,100,down_55%,0.45,4468.9094,4726.5683,3590.4041,3120.6948,3891.5533,1814.0952,0.6646,0.7225,0.4759,366
4,100,100,down_60%,0.4,4468.9094,4726.5683,3191.4683,3120.6948,3891.5533,1612.5278,0.6646,0.7225,0.4759,366
4,100,100,down_65%,0.35,4468.9094,4726.5683,2792.5344,3120.6948,3891.5533,1410.9636,0.6646,0.7225,0.4759,366
4,100,100,down_70%,0.3,4468.9094,4726.5683,2393.5984,3120.6948,3891.5533,1209.3963,0.6646,0.7225,0.4759,366
4,100,100,down_75%,0.25,4468.9094,4726.5683,1994.6675,3120.6948,3891.5533,1007.8305,0.6646,0.7225,0.4759,366
4,100,100,down_80%,0.2,4468.9094,4726.5683,1595.7369,3120.6948,3891.5533,806.2646,0.6646,0.7225,0.4759,366
4,100,100,down_30%,0.7,4468.9094,4726.5683,5585.0716,3120.6948,3891.5533,2821.9257,0.6646,0.7225,0.4759,366
4,100,100,down_25%,0.75,4468.9094,4726.5683,5984.0025,3120.6948,3891.5533,3023.4915,0.6646,0.7225,0.4759,366
4,100,100,down_20%,0.8,4468.9094,4726.5683,6382.9333,3120.6948,3891.5533,3225.0573,0.6646,0.7225,0.4759,366
4,100,100,down_15%,0.85,4468.9094,4726.5683,6781.8694,3120.6948,3891.5533,3426.6246,0.6646,0.7225,0.4759,366
4,100,100,down_10%,0.9,4468.9094,4726.5683,7180.8033,3120.6948,3891.5533,3628.1889,0.6646,0.7225,0.4759,366
4,100,100,down_5%,0.95,4468.9094,4726.5683,7579.7393,3120.6948,3891.5533,3829.7562,0.6646,0.7225,0.4759,366
4,100,100,up_5%,1.05,4468.9094,4726.5683,8377.6011,3120.6948,3891.5533,4232.8878,0.6646,0.7225,0.4759,366
4,100,100,up_10%,1.1,4468.9094,4726.5683,8776.5369,3120.6948,3891.5533,4434.4551,0.6646,0.7225,0.4759,366
4,100,100,up_15%,1.15,4468.9094,4726.5683,9175.4708,3120.6948,3891.5533,4636.0194,0.6646,0.7225,0.4759,366
4,100,100,up_25%,1.25,4468.9094,4726.5683,9973.3377,3120.6948,3891.5533,5039.1525,0.6646,0.7225,0.4759,366
4,100,100,up_20%,1.2,4468.9094,4726.5683,9574.4068,3120.6948,3891.5533,4837.5867,0.6646,0.7225,0.4759,366
4,100,100,up_30%,1.3,4468.9094,4726.5683,10372.2683,3120.6948,3891.5533,5240.7184,0.6646,0.7225,0.4759,366
5,10,15,base_case,1.0,649.1234,681.6327,797.8669,461.1413,575.0353,403.1331,0.6687,0.7221,0.4698,366
5,10,15,down_35%,0.65,649.1234,681.6327,518.615,461.1413,575.0353,262.0369,0.6687,0.7221,0.4698,366
5,10,15,down_40%,0.6,649.1234,681.6327,478.7186,461.1413,575.0353,241.8784,0.6687,0.7221,0.4698,366
5,10,15,down_50%,0.5,649.1234,681.6327,398.9309,461.1413,575.0353,201.5658,0.6687,0.7221,0.4698,366
5,10,15,down_45%,0.55,649.1234,681.6327,438.8262,461.1413,575.0353,221.722,0.6687,0.7221,0.4698,366
5,10,15,down_55%,0.45,649.1234,681.6327,359.041,461.1413,575.0353,181.4099,0.6687,0.7221,0.4698,366
5,10,15,down_60%,0.4,649.1234,681.6327,319.1464,461.1413,575.0353,161.2511,0.6687,0.7221,0.4698,366
5,10,15,down_65%,0.35,649.1234,681.6327,279.2549,461.1413,575.0353,141.0972,0.6687,0.7221,0.4698,366
5,10,15,down_70%,0.3,649.1234,681.6327,239.3598,461.1413,575.0353,120.9383,0.6687,0.7221,0.4698,366
5,10,15,down_75%,0.25,649.1234,681.6327,199.4669,461.1413,575.0353,100.7821,0.6687,0.7221,0.4698,366
5,10,15,down_80%,0.2,649.1234,681.6327,159.5697,461.1413,575.0353,80.6252,0.6687,0.7221,0.4699,366
5,10,15,down_30%,0.7,649.1234,681.6327,558.5077,461.1413,575.0353,282.1933,0.6687,0.7221,0.4698,366
5,10,15,down_25%,0.75,649.1234,681.6327,598.403,461.1413,575.0353,302.3494,0.6687,0.7221,0.4698,366
5,10,15,down_20%,0.8,649.1234,681.6327,638.2929,461.1413,575.0353,322.5053,0.6687,0.7221,0.4698,366
5,10,15,down_15%,0.85,649.1234,681.6327,678.1872,461.1413,575.0353,342.6642,0.6687,0.7221,0.4698,366
5,10,15,down_10%,0.9,649.1234,681.6327,718.0787,461.1413,575.0353,362.8181,0.6687,0.7221,0.4698,366
5,10,15,down_5%,0.95,649.1234,681.6327,757.974,461.1413,575.0353,382.977,0.6687,0.7221,0.4698,366
5,10,15,up_5%,1.05,649.1234,681.6327,837.7642,461.1413,575.0353,423.29,0.6687,0.7221,0.4698,366
5,10,15,up_10%,1.1,649.1234,681.6327,877.6522,461.1413,575.0353,443.4461,0.6687,0.7221,0.4698,366
5,10,15,up_15%,1.15,649.1234,681.6327,917.5475,461.1413,575.0353,463.6019,0.6687,0.7221,0.4698,366
5,10,15,up_25%,1.25,649.1234,681.6327,997.3339,461.1413,575.0353,503.9152,0.6687,0.7221,0.4698,366
5,10,15,up_20%,1.2,649.1234,681.6327,957.4391,461.1413,575.0353,483.7568,0.6687,0.7221,0.4698,366
5,10,15,up_30%,1.3,649.1234,681.6327,1037.2287,461.1413,575.0353,524.0736,0.6687,0.7221,0.4698,366
6,50,75,base_case,1.0,3245.6184,3408.1642,3989.335,2305.7077,2875.1755,2015.661,0.6687,0.7221,0.4698,366
6,50,75,down_35%,0.65,3245.6184,3408.1642,2593.0705,2305.7077,2875.1755,1310.1799,0.6687,0.7221,0.4698,366
6,50,75,down_40%,0.6,3245.6184,3408.1642,2393.5984,2305.7077,2875.1755,1209.3963,0.6687,0.7221,0.4698,366
6,50,75,down_50%,0.5,3245.6184,3408.1642,1994.6675,2305.7077,2875.1755,1007.8305,0.6687,0.7221,0.4698,366
6,50,75,down_45%,0.55,3245.6184,3408.1642,2194.1344,2305.7077,2875.1755,1108.6126,0.6687,0.7221,0.4698,366
6,50,75,down_55%,0.45,3245.6184,3408.1642,1795.2005,2305.7077,2875.1755,907.0484,0.6687,0.7221,0.4698,366
6,50,75,down_60%,0.4,3245.6184,3408.1642,1595.7369,2305.7077,2875.1755,806.2646,0.6687,0.7221,0.4698,366
6,50,75,down_65%,0.35,3245.6184,3408.1642,1396.2648,2305.7077,2875.1755,705.481,0.6687,0.7221,0.4698,366
6,50,75,down_70%,0.3,3245.6184,3408.1642,1196.8008,2305.7077,2875.1755,604.6973,0.6687,0.7221,0.4698,366
6,50,75,down_75%,0.25,3245.6184,3408.1642,997.3339,2305.7077,2875.1755,503.9152,0.6687,0.7221,0.4698,366
6,50,75,down_80%,0.2,3245.6184,3408.1642,797.8669,2305.7077,2875.1755,403.1331,0.6687,0.7221,0.4698,366
6,50,75,down_30%,0.7,3245.6184,3408.1642,2792.5344,2305.7077,2875.1755,1410.9636,0.6687,0.7221,0.4698,366
6,50,75,down_25%,0.75,3245.6184,3408.1642,2992.0014,2305.7077,2875.1755,1511.7457,0.6687,0.7221,0.4698,366
6,50,75,down_20%,0.8,3245.6184,3408.1642,3191.4683,2305.7077,2875.1755,1612.5278,0.6687,0.7221,0.4698,366
6,50,75,down_15%,0.85,3245.6184,3408.1642,3390.9322,2305.7077,2875.1755,1713.3115,0.6687,0.7221,0.4698,366
6,50,75,down_10%,0.9,3245.6184,3408.1642,3590.4041,2305.7077,2875.1755,1814.0952,0.6687,0.7221,0.4698,366
6,50,75,down_5%,0.95,3245.6184,3408.1642,3789.868,2305.7077,2875.1755,1914.8789,0.6687,0.7221,0.4698,366
6,50,75,up_5%,1.05,3245.6184,3408.1642,4188.8019,2305.7077,2875.1755,2116.4431,0.6687,0.7221,0.4698,366
6,50,75,up_10%,1.1,3245.6184,3408.1642,4388.2658,2305.7077,2875.1755,2217.2268,0.6687,0.7221,0.4698,366
6,50,75,up_15%,1.15,3245.6184,3408.1642,4587.738,2305.7077,2875.1755,2318.0104,0.6687,0.7221,0.4698,366
6,50,75,up_25%,1.25,3245.6184,3408.1642,4986.6689,2305.7077,2875.1755,2519.5762,0.6687,0.7221,0.4698,366
6,50,75,up_20%,1.2,3245.6184,3408.1642,4787.2019,2305.7077,2875.1755,2418.7941,0.6687,0.7221,0.4698,366
6,50,75,up_30%,1.3,3245.6184,3408.1642,5186.1358,2305.7077,2875.1755,2620.3584,0.6687,0.7221,0.4698,366
7,100,150,base_case,1.0,6491.2368,6816.3284,7978.6702,4611.4151,5750.351,4031.322,0.6687,0.7221,0.4698,366
7,100,150,down_35%,0.65,6491.2368,6816.3284,5186.1358,4611.4151,5750.351,2620.3584,0.6687,0.7221,0.4698,366
7,100,150,down_40%,0.6,6491.2368,6816.3284,4787.2019,4611.4151,5750.351,2418.7941,0.6687,0.7221,0.4698,366
7,100,150,down_50%,0.5,6491.2368,6816.3284,3989.335,4611.4151,5750.351,2015.661,0.6687,0.7221,0.4698,366
7,100,150,down_45%,0.55,6491.2368,6816.3284,4388.2658,4611.4151,5750.351,2217.2268,0.6687,0.7221,0.4698,366
7,100,150,down_55%,0.45,6491.2368,6816.3284,3590.4041,4611.4151,5750.351,1814.0952,0.6687,0.7221,0.4698,366
7,100,150,down_60%,0.4,6491.2368,6816.3284,3191.4683,4611.4151,5750.351,1612.5278,0.6687,0.7221,0.4698,366
7,100,150,down_65%,0.35,6491.2368,6816.3284,2792.5344,4611.4151,5750.351,1410.9636,0.6687,0.7221,0.4698,366
7,100,150,down_70%,0.3,6491.2368,6816.3284,2393.5984,4611.4151,5750.351,1209.3963,0.6687,0.7221,0.4698,366
7,100,150,down_75%,0.25,6491.2368,6816.3284,1994.6675,4611.4151,5750.351,1007.8305,0.6687,0.7221,0.4698,366
7,100,150,down_80%,0.2,6491.2368,6816.3284,1595.7369,4611.4151,5750.351,806.2646,0.6687,0.7221,0.4698,366
7,100,150,down_30%,0.7,6491.2368,6816.3284,5585.0716,4611.4151,5750.351,2821.9257,0.6687,0.7221,0.4698,366
7,100,150,down_25%,0.75,6491.2368,6816.3284,5984.0025,4611.4151,5750.351,3023.4915,0.6687,0.7221,0.4698,366
7,100,150,down_20%,0.8,6491.2368,6816.3284,6382.9333,4611.4151,5750.351,3225.0573,0.6687,0.7221,0.4698,366
7,100,150,down_15%,0.85,6491.2368,6816.3284,6781.8694,4611.4151,5750.351,3426.6246,0.6687,0.7221,0.4698,366
7,100,150,down_10%,0.9,6491.2368,6816.3284,7180.8033,4611.4151,5750.351,3628.1889,0.6687,0.7221,0.4698,366
7,100,150,down_5%,0.95,6491.2368,6816.3284,7579.7393,4611.4151,5750.351,3829.7562,0.6687,0.7221,0.4698,366
7,100,150,up_5%,1.05,6491.2368,6816.3284,8377.6011,4611.4151,5750.351,4232.8878,0.6687,0.7221,0.4698,366
7,100,150,up_10%,1.1,6491.2368,6816.3284,8776.5369,4611.4151,5750.351,4434.4551,0.6687,0.7221,0.4698,366
7,100,150,up_15%,1.15,6491.2368,6816.3284,9175.4708,4611.4151,5750.351,4636.0194,0.6687,0.7221,0.4698,366
7,100,150,up_25%,1.25,6491.2368,6816.3284,9973.3377,4611.4151,5750.351,5039.1525,0.6687,0.7221,0.4698,366
7,100,150,up_20%,1.2,6491.2368,6816.3284,9574.4068,4611.4151,5750.351,4837.5867,0.6687,0.7221,0.4698,366
7,100,150,up_30%,1.3,6491.2368,6816.3284,10372.2683,4611.4151,5750.351,5240.7184,0.6687,0.7221,0.4698,366
8,10,20,base_case,1.0,845.6515,884.3255,797.8669,609.2296,759.1855,403.1331,0.67,0.721,0.4654,366
8,10,20,down_35%,0.65,845.6515,884.3255,518.615,609.2296,759.1855,262.0369,0.67,0.721,0.4654,366
8,10,20,down_40%,0.6,845.6515,884.3255,478.7186,609.2296,759.1855,241.8784,0.67,0.7211,0.4654,366
8,10,20,down_50%,0.5,845.6515,884.3255,398.9309,609.2296,759.1855,201.5658,0.67,0.721,0.4654,366
8,10,20,down_45%,0.55,845.6515,884.3255,438.8262,609.2296,759.1855,221.722,0.67,0.721,0.4654,366
8,10,20,down_55%,0.45,845.6515,884.3255,359.041,609.2296,759.1855,181.4099,0.67,0.7211,0.4654,366
8,10,20,down_60%,0.4,845.6515,884.3255,319.1464,609.2296,759.1855,161.2511,0.67,0.721,0.4654,366
8,10,20,down_65%,0.35,845.6515,884.3255,279.2549,609.2296,759.1855,141.0972,0.67,0.7211,0.4654,366
8,10,20,down_70%,0.3,845.6515,884.3255,239.3598,609.2296,759.1855,120.9383,0.67,0.7211,0.4654,366
8,10,20,down_75%,0.25,845.6515,884.3255,199.4669,609.2296,759.1855,100.7821,0.67,0.7211,0.4654,366
8,10,20,down_80%,0.2,845.6515,884.3255,159.5697,609.2296,759.1855,80.6252,0.67,0.721,0.4655,366
8,10,20,down_30%,0.7,845.6515,884.3255,558.5077,609.2296,759.1855,282.1933,0.67,0.7211,0.4654,366
8,10,20,down_25%,0.75,845.6515,884.3255,598.403,609.2296,759.1855,302.3494,0.67,0.7211,0.4654,366
8,10,20,down_20%,0.8,845.6515,884.3255,638.2929,609.2296,759.1855,322.5053,0.67,0.721,0.4654,366
8,10,20,down_15%,0.85,845.6515,884.3255,678.1872,609.2296,759.1855,342.6642,0.67,0.7211,0.4654,366
8,10,20,down_10%,0.9,845.6515,884.3255,718.0787,609.2296,759.1855,362.8181,0.67,0.721,0.4654,366
8,10,20,down_5%,0.95,845.6515,884.3255,757.974,609.2296,759.1855,382.977,0.67,0.721,0.4654,366
8,10,20,up_5%,1.05,845.6515,884.3255,837.7642,609.2296,759.1855,423.29,0.67,0.721,0.4654,366
8,10,20,up_10%,1.1,845.6515,884.3255,877.6522,609.2296,759.1855,443.4461,0.67,0.7211,0.4654,366
8,10,20,up_15%,1.15,845.6515,884.3255,917.5475,609.2296,759.1855,463.6019,0.67,0.7211,0.4654,366
8,10,20,up_25%,1.25,845.6515,884.3255,997.3339,609.2296,759.1855,503.9152,0.67,0.721,0.4654,366
8,10,20,up_20%,1.2,845.6515,884.3255,957.4391,609.2296,759.1855,483.7568,0.67,0.721,0.4654,366
8,10,20,up_30%,1.3,845.6515,884.3255,1037.2287,609.2296,759.1855,524.0736,0.67,0.721,0.4654,366
9,30,60,base_case,1.0,2536.9552,2652.9767,2393.5984,1827.6883,2277.5562,1209.3963,0.67,0.721,0.4654,366
9,30,60,down_35%,0.65,2536.9552,2652.9767,1555.8415,1827.6883,2277.5562,786.1085,0.67,0.721,0.4654,366
9,30,60,down_40%,0.6,2536.9552,2652.9767,1436.1598,1827.6883,2277.5562,725.6372,0.67,0.721,0.4654,366
9,30,60,down_50%,0.5,2536.9552,2652.9767,1196.8008,1827.6883,2277.5562,604.6973,0.67,0.721,0.4654,366
9,30,60,down_45%,0.55,2536.9552,2652.9767,1316.4801,1827.6883,2277.5562,665.1664,0.67,0.721,0.4654,366
9,30,60,down_55%,0.45,2536.9552,2652.9767,1077.1197,1827.6883,2277.5562,544.2287,0.67,0.721,0.4654,366
9,30,60,down_60%,0.4,2536.9552,2652.9767,957.4391,1827.6883,2277.5562,483.7568,0.67,0.721,0.4654,366
9,30,60,down_65%,0.35,2536.9552,2652.9767,837.7642,1827.6883,2277.5562,423.29,0.67,0.721,0.4654,366
9,30,60,down_70%,0.3,2536.9552,2652.9767,718.0787,1827.6883,2277.5562,362.8181,0.67,0.721,0.4654,366
9,30,60,down_75%,0.25,2536.9552,2652.9767,598.403,1827.6883,2277.5562,302.3494,0.67,0.7211,0.4654,366
9,30,60,down_80%,0.2,2536.9552,2652.9767,478.7186,1827.6883,2277.5562,241.8784,0.67,0.7211,0.4654,366
9,30,60,down_30%,0.7,2536.9552,2652.9767,1675.521,1827.6883,2277.5562,846.5794,0.67,0.7211,0.4654,366
