config_id,power_mw,energy_mwh,risk_aversion,baseline_dam_weight,baseline_idm_weight,baseline_dc_weight,baseline_expected_return,baseline_portfolio_risk
1,10,10,0.5,0.0,2.7755575615628914e-16,0.9999999999999998,4114.749041095891,3111.969880558927
1,10,10,1.0,0.0,0.0,1.0,4114.749041095891,3111.9698805589273
1,10,10,2.0,0.4127284615203406,0.0,0.5872715384796594,2910.3306002704358,2586.507791698496
1,10,10,3.0,0.5727812407930226,0.0,0.4272187592069773,2443.2668117657895,2405.6639398000984
1,10,10,4.5,0.6794830923471301,2.0816681711721685e-17,0.32051690765286983,2131.890956539838,2304.04747899071
1,10,10,6.0,0.732834018713628,0.0,0.2671659812863721,1976.2030272067548,2263.0032172358424
1,10,10,7.0,0.7556987012993724,0.0,0.24430129870062758,1909.4796293377321,2248.1025986417662
1,10,10,8.0,0.7728472134289235,0.0,0.22715278657107665,1859.4370803808017,2238.1471577820266
1,10,10,9.0,0.7861849449798137,8.463964207869483e-18,0.21381505502018622,1820.5150981664005,2231.1823321552138
1,10,10,10.0,0.7968551303290239,0.0,0.2031448696709761,1789.377512078263,2226.12708305671
2,30,30,0.5,0.0,0.0,1.0,12344.253424657534,9335.914495723018
2,30,30,1.0,0.0,2.220446049250313e-16,1.0,12344.253424657534,9335.914495723018
2,30,30,2.0,0.41272845719835755,0.0,0.5872715428016425,8730.995527955933,7759.526869660516
2,30,30,3.0,0.5727812110389033,0.0,0.4272187889610968,7329.803372152503,7216.994976686947
2,30,30,4.5,0.6794830436080345,6.938893903907228e-18,0.3205169563919655,6395.675297388677,6912.145439085942
2,30,30,6.0,0.7328339603503798,1.3877787807814457e-17,0.26716603964962016,5928.611255999102,6789.012601370406
2,30,30,7.0,0.7556986392199784,9.540979117872439e-18,0.24430136078002163,5728.440950220022,6744.310727707112
2,30,30,8.0,0.772847148302419,0.0,0.22715285169758104,5578.313221496415,6714.4443943337865
2,30,30,9.0,0.7861848772912847,0.0,0.21381512270871525,5461.5472128712245,6693.5499105338595
2,30,30,10.0,0.7968550592370421,4.683753385137379e-17,0.2031449407629578,5368.1344168734395,6678.384160214922
3,50,50,0.5,0.0,0.0,1.0,20573.751232876715,15559.85811556861
3,50,50,1.0,0.0,0.0,1.0,20573.751232876715,15559.85811556861
3,50,50,2.0,0.41272844423843097,6.938893903907228e-18,0.5872715557615691,14551.6568384608,12932.54546764537
3,50,50,3.0,0.5727812169798857,0.0,0.4272187830201143,12216.337044072636,12028.32555368436
3,50,50,4.5,0.6794830646243193,0.0,0.3205169353756808,10659.457193547587,11520.242943150699
3,50,50,6.0,0.7328339875158022,9.71445146547012e-17,0.26716601248419775,9881.017281865337,11315.021538540635
3,50,50,7.0,0.7556986696765489,2.3418766925686896e-17,0.24430133032345125,9547.400163412538,11240.518411532965
3,50,50,8.0,0.7728471804274438,2.6020852139652106e-18,0.22715281957255617,9297.18733726216,11190.741189026181
3,50,50,9.0,0.786184910723999,2.6020852139652106e-18,0.21381508927600099,9102.577365561941,11155.917049205776
3,50,50,10.0,0.7968550962644745,0.0,0.20314490373552554,8946.889369186401,11130.640792785034
4,100,100,0.5,0.0,1.6653345369377348e-16,1.0,41147.50246575342,31119.716231137216
4,100,100,1.0,0.0,1.1102230246251565e-16,1.0,41147.50246575343,31119.716231137216
4,100,100,2.0,0.4127284497808072,1.3877787807814457e-17,0.5872715502191929,29103.313436031283,25865.09089164797
4,100,100,3.0,0.5727812170030485,0.0,0.4272187829969516,24432.673977620885,24056.651119920924
4,100,100,4.5,0.6794830658814456,0.0,0.3205169341185543,21318.91422009805,23040.485870917484
4,100,100,6.0,0.7328339889294858,1.3877787807814457e-17,0.2671660110705142,19762.03438193324,22630.043050290045
4,100,100,7.0,0.7556986717476082,0.0,0.24430132825239176,19094.80012145917,22481.03678764306
4,100,100,8.0,0.7728471824641453,8.673617379884035e-18,0.22715281753585465,18594.374466872287,22381.482339774346
4,100,100,9.0,0.7861849140995429,6.071532165918825e-18,0.21381508590045714,18205.154481844,22311.83405117435
4,100,100,10.0,0.7968550986523257,0.0,0.20314490134767424,17893.778515869308,22261.2815415864
5,10,15,0.5,0.0,0.0,1.0,4114.749041095891,3111.9698805589273
5,10,15,1.0,0.0,1.1102230246251565e-16,1.0,4114.749041095891,3111.9698805589273
5,10,15,2.0,0.39862224998061396,0.0,0.601377750019386,3159.7025735408165,2728.107417692968
5,10,15,3.0,0.5844156010511973,4.336808689942018e-18,0.4155843989488027,2714.566147654379,2556.2765089088475
5,10,15,4.5,0.7082930105315233,1.451083064990128e-16,0.2917069894684766,2417.772172055143,2449.7848942316405
5,10,15,6.0,0.7702271640297806,0.0,0.22977283597021952,2269.386088432363,2402.1027241537113
5,10,15,7.0,0.7967703692447299,2.7755575615628914e-17,0.20322963075527017,2205.792060805055,2383.62195455911
5,10,15,8.0,0.8166777749929599,2.0816681711721685e-17,0.18332222500704018,2158.096535683321,2370.8007904449146
5,10,15,9.0,0.8321613113874298,2.647775498506497e-16,0.1678386886125701,2121.0000195216708,2361.562039604333
5,10,15,10.0,0.844548141004779,0.0,0.15545185899522107,2091.322805390169,2354.6979022853393
6,50,75,0.5,0.0,0.0,1.0,20573.751232876715,15559.85811556861
6,50,75,1.0,5.551115123125783e-17,0.0,1.0,20573.751232876715,15559.85811556861
6,50,75,2.0,0.39862228392055543,8.673617379884035e-19,0.6013777160794447,15798.516053104835,13640.543469529806
6,50,75,3.0,0.5844156136461645,0.0,0.4155843863538356,13572.833044250508,12781.388123176905
6,50,75,4.5,0.7082930118385123,0.0,0.29170698816148843,12088.862544636893,12248.929607110687
6,50,75,6.0,0.7702271583061291,0.0,0.2297728416938708,11346.93183235325,12010.518602107812
6,50,75,7.0,0.7967703625594121,7.632783294297951e-17,0.20322963744058778,11028.96154356877,11918.114698248048
6,50,75,8.0,0.816677765456861,1.1102230246251565e-16,0.18332223454313895,10790.483830484529,11854.008850797121
6,50,75,9.0,0.8321613004027959,0.0,0.16783869959720427,10605.001172430746,11807.815077855266
6,50,75,10.0,0.8445481286626957,0.0,0.1554518713373048,10456.615042356158,11773.494379734968
7,100,150,0.5,0.0,0.0,1.0,41147.50246575343,31119.71623113722
7,100,150,1.0,0.0,2.7755575615628914e-16,0.9999999999999998,41147.50246575342,31119.716231137216
7,100,150,2.0,0.39862229861435167,2.6020852139652106e-18,0.6013777013856484,31597.031885219367,27281.08677127445
7,100,150,3.0,0.5844156188056724,1.1709383462843448e-17,0.4155843811943276,27145.66615702257,25562.776193792055
7,100,150,4.5,0.7082930078634819,0.0,0.2917069921365182,24177.725417373775,24497.85929388799
7,100,150,6.0,0.7702271515025434,0.0,0.22977284849745655,22693.864080936906,24021.037350941457
7,100,150,7.0,0.7967703519749505,0.0,0.20322964802504953,22057.92360267934,23836.22959299632
7,100,150,8.0,0.8166777543686442,0.0,0.18332224563135602,21580.968195125082,23708.01792003938
7,100,150,9.0,0.8321612891731289,0.0,0.16783871082687116,21210.002887496947,23615.630390446007
7,100,150,10.0,0.8445481163354307,5.342948306008566e-16,0.1554518836645688,20913.230657717148,23546.989012920152
8,10,20,0.5,0.0,2.220446049250313e-16,0.9999999999999998,4114.749041095891,3111.9698805589273
8,10,20,1.0,1.6653345369377348e-16,0.0,1.0,4114.749041095891,3111.9698805589273
8,10,20,2.0,0.26473291165470364,0.0011673341784515885,0.7340997541668448,3611.867050088156,2941.99546375891
8,10,20,3.0,0.4985944063367597,0.012009124526782405,0.4893964691364579,3147.930304647093,2785.5158741381492
8,10,20,4.5,0.654363995609271,0.019371788577600187,0.3262642158131288,2838.629543984499,2681.658117152514
8,10,20,6.0,0.7322465923980999,0.023055989326774374,0.24469741827512578,2683.977559402572,2630.1397794944905
8,10,20,7.0,0.7656248510560012,0.02463492758904988,0.20974022135494977,2617.6981418424616,2608.2516156704746
8,10,20,8.0,0.7906585447473558,0.02581913320810746,0.18352232090292248,2567.9885739003084,2591.9658887784913
8,10,20,9.0,0.8101291973267146,0.026740181552198747,0.16313062112108664,2529.325576544384,2579.4122151055326
8,10,20,10.0,0.8257057192092623,0.027477019872160197,0.14681726091857747,2498.3951785283152,2569.468142824758
9,30,60,0.5,2.220446049250313e-16,0.0,1.0,12344.253424657534,9335.914495723018
9,30,60,1.0,5.551115123125783e-17,0.0,1.0,12344.253424657534,9335.914495723018
9,30,60,2.0,0.26473347794666424,0.0011674529921020787,0.7340990690612337,10835.602044856649,8825.98904969145
9,30,60,3.0,0.4985949387296566,0.012009048082088306,0.48939601318825526,9443.791814490114,8356.549917882847
9,30,60,4.5,0.654364503674913,0.01937159368081159,0.3262639026442754,8515.889475679363,8044.976353224323
9,30,60,6.0,0.7322470870066262,0.02305573503405514,0.24469717795931867,8051.933501878159,7890.421169132912
9,30,60,7.0,0.7656253398895276,0.024634647779079016,0.20974001233139347,7853.095241018693,7824.756592186831
9,30,60,8.0,0.7906590308040039,0.02581883363884467,0.18352213555715205,7703.966530434423,7775.8993397461945
9,30,60,9.0,0.810129678214084,0.0267398679012656,0.16313045388465064,7587.977534518688,7738.238255260048
9,30,60,10.0,0.8257061967235856,0.027476694855382292,0.14681710842103232,7495.186337233647,7708.405982312501
10,50,100,0.5,0.0,3.3306690738754696e-16,0.9999999999999998,20573.75123287671,15559.85811556861
10,50,100,1.0,1.6653345369377348e-16,0.0,1.0,20573.751232876715,15559.85811556861
10,50,100,2.0,0.26473401529216334,0.001167010661504148,0.7340989740463325,18059.332947507395,14709.982035868614
10,50,100,3.0,0.49859526406704574,0.012008794048255686,0.48939594188469865,15739.65055343891,13927.583424666056
10,50,100,4.5,0.6543647267944697,0.01937141571933547,0.3262638574861949,14193.147664142794,13408.294150199928
10,50,100,6.0,0.732247264450385,0.023055592881043092,0.24469714266857173,13419.888183171059,13150.702163632786
10,50,100,7.0,0.7656254966481205,0.024634521621503914,0.20973998173037572,13088.491289442964,13041.261196267857
10,50,100,8.0,0.7906591723558934,0.025818720816835446,0.18352210796888502,12839.943585319212,12959.832435100116
10,50,100,9.0,0.8101298083432411,0.026739762258165187,0.16313042939859393,12646.62872138644,12897.063957435497
10,50,100,10.0,0.8257063163418576,0.027476597256888044,0.14681708640125643,12491.976825126223,12847.343498529912
11,100,200,0.5,1.6653345369377348e-16,0.0,0.9999999999999998,41147.50246575343,31119.71623113722
11,100,200,1.0,2.220446049250313e-16,0.0,1.0,41147.50246575343,31119.71623113722
11,100,200,2.0,0.2647339118956092,0.0011670672784592755,0.7340990208259315,36118.66651770549,29419.964359338737
11,100,200,3.0,0.49859518844806444,0.012008834662007813,0.4893959768899278,31479.301355657008,27855.167079196748
11,100,200,4.5,0.654364675993045,0.019371445638252927,0.326263878368702,28386.295209351745,26816.588455793306
11,100,200,6.0,0.7322472189344943,0.023055621497251926,0.24469715956825397,26839.776117026344,26301.404466697935
11,100,200,7.0,0.7656254554080885,0.024634548446191555,0.20973999614571998,26176.98226043698,26082.522522231313
11,100,200,8.0,0.7906591326477952,0.025818745940359815,0.183522121411845,25679.886824351524,25919.664999133518
11,100,200,9.0,0.8101297714321817,0.026739787777390445,0.16313044079042868,25293.25703634144,25794.128035630678
11,100,200,10.0,0.8257062818259127,0.027476621859462334,0.14681709631462583,24983.953205619764,25694.687113436103
12,200,400,0.5,1.1102230246251565e-16,0.0,1.0,82295.00493150686,62239.43246227444
12,200,400,1.0,1.1102230246251565e-16,0.0,1.0,82295.00493150686,62239.43246227444
12,200,400,2.0,0.26473389637363676,0.0011670723939476131,0.7340990312324157,72237.3334824526,58839.92887049689
12,200,400,3.0,0.49859518237524847,0.01200883604624271,0.48939598157850883,62958.603010614475,55710.33426280922
12,200,400,4.5,0.6543646671556431,0.019371449770528158,0.32626388307382864,56772.59075201698,53633.17703207594
12,200,400,6.0,0.7322472122634515,0.023055625105771495,0.2446971626307771,53679.552526388434,52602.80904515234
12,200,400,7.0,0.7656254483331834,0.02463455252560165,0.2097399991412157,52353.96481810571,52165.04516113705
12,200,400,8.0,0.7906591264385133,0.025818749853107132,0.18352212370838064,51359.77392629388,51839.330111778916
12,200,400,9.0,0.8101297645004585,0.026739791877093973,0.16313044258749668,50586.51434816425,51588.25618313799
12,200,400,10.0,0.825706276170001,0.027476625478141937,0.14681709835185708,49967.90668867306,51389.37434670794
13,300,600,0.5,0.0,2.7755575615628914e-16,0.9999999999999998,123442.50739726028,93359.14869341164
13,300,600,1.0,0.0,0.0,1.0,123442.50739726028,93359.14869341164
13,300,600,2.0,0.26473391670939644,0.0011670705638129487,0.7340990127267907,108355.9992640487,88259.89291962697
13,300,600,3.0,0.498595191798283,0.012008834211788139,0.48939597398992885,94437.90425115531,83565.50118298506
13,300,600,4.5,0.6543646771785313,0.019371445347453702,0.32626387747401503,85158.88603554538,80449.76535058524
13,300,600,6.0,0.7322472194152829,0.023055620856796452,0.24469715972792067,80519.32887466215,78904.21340335916
13,300,600,7.0,0.765625456618444,0.024634547768255462,0.20973999561330098,78530.94728936645,78247.56755688172
13,300,600,8.0,0.7906591343517605,0.025818744768881616,0.18352212087935807,77039.66100053731,77758.99498806812
13,300,600,9.0,0.8101297727612636,0.026739786868242903,0.16313044037049423,75879.77165573506,77382.38409926
13,300,600,10.0,0.8257062837898779,0.027476620375803753,0.1468170958343203,74951.8601731752,77084.06133216585
14,400,800,0.5,1.1102230246251565e-16,0.0,0.9999999999999998,164590.00986301372,124478.86492454886
14,400,800,1.0,5.551115123125783e-17,0.0,1.0,164590.00986301372,124478.86492454888
14,400,800,2.0,0.2647339178475582,0.0011670618945089602,0.7340990202579328,144474.66627082333,117679.85739282818
14,400,800,3.0,0.4985952032224606,0.012008827520653093,0.4893959692568863,125917.20529023443,111420.66805863802
14,400,800,4.5,0.6543646812295042,0.019371442843185583,0.3262638759273102,113545.18120634141,107266.35366590599
14,400,800,6.0,0.7322472232026335,0.023055618596763125,0.2446971582006035,107359.10498325735,105205.61772430669
14,400,800,7.0,0.7656254597792554,0.024634545720323055,0.20973999450042177,104707.92956273444,104330.0899338209
14,400,800,8.0,0.7906591371908128,0.02581874311876672,0.18352211969042082,102719.54783382131,103678.65983564871
14,400,800,9.0,0.8101297751463881,0.026739785382985225,0.16313043947062703,101173.02872628463,103176.51198768156
14,400,800,10.0,0.8257062855775336,0.027476619031971215,0.1468170953904956,99935.81344825361,102778.74830655537
15,5,15,0.5,0.0,0.0,1.0,2057.377808219178,1555.9854381418447
15,5,15,1.0,0.0,3.3306690738754696e-16,1.0,2057.377808219178,1555.9854381418447
15,5,15,2.0,3.3306690738754696e-16,0.0,0.9999999999999998,2057.377808219178,1555.9854381418447
15,5,15,3.0,0.0,1.6653345369377348e-16,0.9999999999999998,2057.377808219178,1555.9854381418447
15,5,15,4.5,0.0,6.106226635438361e-16,0.9999999999999996,2057.3778082191775,1555.9854381418447
15,5,15,6.0,0.0,1.0547118733938987e-15,0.9999999999999991,2057.3778082191775,1555.9854381418447
15,5,15,7.0,2.220446049250313e-15,0.0,1.0,2057.3778082191775,1555.9854381418447
15,5,15,8.0,3.3306690738754696e-16,0.0,1.0,2057.377808219178,1555.9854381418447
15,5,15,9.0,1.9984014443252818e-15,0.0,1.0,2057.3778082191775,1555.9854381418447
15,5,15,10.0,2.1094237467877974e-15,0.0,1.0,2057.3778082191775,1555.9854381418447
16,10,30,0.5,0.0,2.7755575615628914e-16,1.0,4114.749041095891,3111.9698805589273
16,10,30,1.0,0.0,1.6653345369377348e-16,1.0,4114.749041095891,3111.9698805589273
16,10,30,2.0,5.551115123125783e-17,0.0,0.9999999999999998,4114.749041095891,3111.9698805589273
16,10,30,3.0,0.0,6.106226635438361e-16,0.9999999999999993,4114.74904109589,3111.9698805589273
16,10,30,4.5,0.0,1.1102230246251565e-15,0.9999999999999996,4114.74904109589,3111.9698805589273
16,10,30,6.0,0.0,5.662137425588298e-15,0.9999999999999958,4114.749041095885,3111.9698805589264
16,10,30,7.0,2.7200464103316335e-15,0.0,1.0,4114.74904109589,3111.9698805589273
16,10,30,8.0,3.219646771412954e-15,0.0,1.0,4114.74904109589,3111.9698805589273
16,10,30,9.0,0.0,1.2490009027033011e-14,0.9999999999999922,4114.749041095879,3111.969880558926
16,10,30,10.0,2.1094237467877974e-15,0.0,1.0,4114.74904109589,3111.9698805589273
17,15,60,0.5,0.0,0.0,1.0,6172.126575342466,5302.226719800309
17,15,60,1.0,0.0,5.551115123125783e-17,1.0,6172.126575342466,5302.226719800309
17,15,60,2.0,0.0,5.551115123125783e-17,1.0,6172.126575342466,5302.226719800309
17,15,60,3.0,0.0020909215909076565,0.0,0.9979090784090926,6170.9885735081025,5301.47469674939
17,15,60,4.5,0.06894605013799146,0.0,0.9310539498620086,6134.602101985671,5280.84465426318
17,15,60,6.0,0.10387540452789923,0.04980718560031389,0.8463174098717868,6073.5138861796295,5256.376778594209
17,15,60,7.0,0.11983660746456623,0.1106141138823069,0.7695492786531268,6013.456553176934,5234.049692007549
17,15,60,8.0,0.1321588346605882,0.1563589420925961,0.7114822232468156,5968.104379277651,5218.306462241354
17,15,60,9.0,0.14158602768133646,0.191875593616631,0.6665383787020326,5932.968720224106,5206.917175939316
17,15,60,10.0,0.1491245622526979,0.22028620386519265,0.6305892338821094,5904.864235665034,5198.398904032494
