registeredAuctionParticipant,auctionUnit,serviceType,auctionProduct,Delivery capacity (MW),clearingPrice,deliveryStart,deliveryEnd,Delivery date,EFA block of the day 
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.47,2025-02-01T11:00:00,2025-02-01T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.22,2025-02-01T07:00:00,2025-02-01T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.11,2025-02-01T03:00:00,2025-02-01T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.81,2025-02-01T11:00:00,2025-02-01T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,0.9,2025-01-31T23:00:00,2025-02-01T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.42,2025-02-01T07:00:00,2025-02-01T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.2,2025-02-01T19:00:00,2025-02-01T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.25,2025-02-01T03:00:00,2025-02-01T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,0.75,2025-02-01T15:00:00,2025-02-01T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.76,2025-01-31T23:00:00,2025-02-01T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3,2025-02-01T19:00:00,2025-02-01T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.65,2025-02-01T15:00:00,2025-02-01T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.27,2025-02-02T03:00:00,2025-02-02T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,4.5,2025-02-02T03:00:00,2025-02-02T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.25,2025-02-02T19:00:00,2025-02-02T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.29,2025-02-02T11:00:00,2025-02-02T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.31,2025-02-01T23:00:00,2025-02-02T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.2,2025-02-02T19:00:00,2025-02-02T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2,2025-02-02T07:00:00,2025-02-02T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,4,2025-02-01T23:00:00,2025-02-02T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.25,2025-02-02T15:00:00,2025-02-02T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.96,2025-02-02T07:00:00,2025-02-02T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,0.85,2025-02-02T15:00:00,2025-02-02T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2,2025-02-02T11:00:00,2025-02-02T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,5.69,2025-02-08T07:00:00,2025-02-08T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,1.59,2025-02-08T03:00:00,2025-02-08T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,1.59,2025-02-08T19:00:00,2025-02-08T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.3,2025-02-08T11:00:00,2025-02-08T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.17,2025-02-08T07:00:00,2025-02-08T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3,2025-02-07T23:00:00,2025-02-08T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.48,2025-02-08T15:00:00,2025-02-08T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,0.92,2025-02-08T11:00:00,2025-02-08T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,4.69,2025-02-08T03:00:00,2025-02-08T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,5.69,2025-02-07T23:00:00,2025-02-08T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.3,2025-02-08T19:00:00,2025-02-08T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.3,2025-02-08T15:00:00,2025-02-08T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,5.13,2025-02-10T15:00:00,2025-02-10T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.3,2025-02-10T07:00:00,2025-02-10T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.48,2025-02-10T15:00:00,2025-02-10T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.18,2025-02-10T03:00:00,2025-02-10T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.25,2025-02-10T11:00:00,2025-02-10T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.88,2025-02-10T03:00:00,2025-02-10T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.5,2025-02-10T19:00:00,2025-02-10T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.58,2025-02-10T11:00:00,2025-02-10T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4,2025-02-09T23:00:00,2025-02-10T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.58,2025-02-10T07:00:00,2025-02-10T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,4.5,2025-02-09T23:00:00,2025-02-10T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.43,2025-02-10T19:00:00,2025-02-10T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,5,2025-02-11T11:00:00,2025-02-11T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.58,2025-02-11T07:00:00,2025-02-11T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.1,2025-02-10T23:00:00,2025-02-11T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.98,2025-02-11T07:00:00,2025-02-11T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,6.76,2025-02-11T15:00:00,2025-02-11T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.6,2025-02-11T03:00:00,2025-02-11T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,1.74,2025-02-11T11:00:00,2025-02-11T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,4.2,2025-02-11T03:00:00,2025-02-11T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.96,2025-02-11T19:00:00,2025-02-11T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,1.96,2025-02-10T23:00:00,2025-02-11T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.11,2025-02-11T19:00:00,2025-02-11T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,9,2025-02-11T15:00:00,2025-02-11T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.41,2025-02-15T19:00:00,2025-02-15T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.75,2025-02-15T07:00:00,2025-02-15T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.03,2025-02-15T15:00:00,2025-02-15T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.97,2025-02-15T03:00:00,2025-02-15T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.1,2025-02-15T15:00:00,2025-02-15T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.04,2025-02-15T03:00:00,2025-02-15T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.25,2025-02-15T11:00:00,2025-02-15T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.85,2025-02-14T23:00:00,2025-02-15T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,1.8,2025-02-15T11:00:00,2025-02-15T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,1.95,2025-02-14T23:00:00,2025-02-15T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.71,2025-02-15T19:00:00,2025-02-15T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.29,2025-02-15T07:00:00,2025-02-15T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.2,2025-02-16T19:00:00,2025-02-16T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.5,2025-02-16T07:00:00,2025-02-16T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.41,2025-02-16T19:00:00,2025-02-16T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,5,2025-02-16T07:00:00,2025-02-16T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,0.75,2025-02-16T15:00:00,2025-02-16T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.5,2025-02-16T03:00:00,2025-02-16T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.09,2025-02-16T15:00:00,2025-02-16T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.38,2025-02-16T03:00:00,2025-02-16T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.45,2025-02-16T11:00:00,2025-02-16T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.64,2025-02-15T23:00:00,2025-02-16T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.25,2025-02-16T11:00:00,2025-02-16T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.96,2025-02-15T23:00:00,2025-02-16T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,8.53,2025-02-22T23:00:00,2025-02-23T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,5.5,2025-02-23T07:00:00,2025-02-23T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.09,2025-02-23T03:00:00,2025-02-23T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,8.58,2025-02-23T15:00:00,2025-02-23T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.4,2025-02-23T11:00:00,2025-02-23T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.82,2025-02-23T19:00:00,2025-02-23T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.25,2025-02-22T23:00:00,2025-02-23T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.5,2025-02-23T03:00:00,2025-02-23T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,6.19,2025-02-23T11:00:00,2025-02-23T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.35,2025-02-23T07:00:00,2025-02-23T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,4.69,2025-02-23T15:00:00,2025-02-23T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,6.84,2025-02-23T19:00:00,2025-02-23T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.78,2025-03-01T19:00:00,2025-03-01T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.25,2025-02-28T23:00:00,2025-03-01T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.2,2025-03-01T19:00:00,2025-03-01T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4,2025-03-01T07:00:00,2025-03-01T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.2,2025-02-28T23:00:00,2025-03-01T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,7.15,2025-03-01T15:00:00,2025-03-01T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1,2025-03-01T07:00:00,2025-03-01T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,0.9,2025-03-01T15:00:00,2025-03-01T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.67,2025-03-01T03:00:00,2025-03-01T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,6.5,2025-03-01T11:00:00,2025-03-01T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.44,2025-03-01T03:00:00,2025-03-01T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.14,2025-03-01T11:00:00,2025-03-01T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.54,2025-03-02T19:00:00,2025-03-02T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,4.7,2025-03-02T11:00:00,2025-03-02T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.1,2025-03-02T19:00:00,2025-03-02T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.29,2025-03-02T07:00:00,2025-03-02T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.28,2025-03-01T23:00:00,2025-03-02T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,7.69,2025-03-02T15:00:00,2025-03-02T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.06,2025-03-02T07:00:00,2025-03-02T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.02,2025-03-02T15:00:00,2025-03-02T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.07,2025-03-02T03:00:00,2025-03-02T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.21,2025-03-02T11:00:00,2025-03-02T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.29,2025-03-02T03:00:00,2025-03-02T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,1.8,2025-03-01T23:00:00,2025-03-02T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,6.5,2025-03-08T11:00:00,2025-03-08T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.2,2025-03-08T15:00:00,2025-03-08T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.79,2025-03-08T19:00:00,2025-03-08T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.8,2025-03-07T23:00:00,2025-03-08T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.95,2025-03-08T03:00:00,2025-03-08T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,5.5,2025-03-08T07:00:00,2025-03-08T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,6.5,2025-03-08T15:00:00,2025-03-08T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,6,2025-03-08T11:00:00,2025-03-08T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1,2025-03-08T19:00:00,2025-03-08T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.47,2025-03-08T03:00:00,2025-03-08T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.74,2025-03-07T23:00:00,2025-03-08T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.36,2025-03-08T07:00:00,2025-03-08T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.34,2025-03-08T23:00:00,2025-03-09T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.6,2025-03-09T03:00:00,2025-03-09T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.5,2025-03-09T07:00:00,2025-03-09T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,7.2,2025-03-09T15:00:00,2025-03-09T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,5.96,2025-03-09T11:00:00,2025-03-09T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.78,2025-03-09T19:00:00,2025-03-09T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.92,2025-03-09T03:00:00,2025-03-09T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.18,2025-03-08T23:00:00,2025-03-09T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.02,2025-03-09T07:00:00,2025-03-09T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.69,2025-03-09T11:00:00,2025-03-09T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2,2025-03-09T19:00:00,2025-03-09T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.84,2025-03-09T15:00:00,2025-03-09T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,4.72,2025-03-10T11:00:00,2025-03-10T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,6.69,2025-03-10T15:00:00,2025-03-10T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,3.08,2025-03-10T19:00:00,2025-03-10T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.5,2025-03-10T03:00:00,2025-03-10T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,4.69,2025-03-09T23:00:00,2025-03-10T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,6.69,2025-03-10T11:00:00,2025-03-10T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,4.06,2025-03-10T07:00:00,2025-03-10T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.43,2025-03-10T19:00:00,2025-03-10T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.81,2025-03-10T15:00:00,2025-03-10T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.69,2025-03-09T23:00:00,2025-03-10T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,9.65,2025-03-10T07:00:00,2025-03-10T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,5.8,2025-03-10T03:00:00,2025-03-10T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,4.49,2025-03-10T23:00:00,2025-03-11T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.34,2025-03-11T03:00:00,2025-03-11T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.82,2025-03-11T11:00:00,2025-03-11T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.59,2025-03-11T07:00:00,2025-03-11T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.31,2025-03-11T15:00:00,2025-03-11T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.33,2025-03-11T19:00:00,2025-03-11T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,5.69,2025-03-11T03:00:00,2025-03-11T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,5.54,2025-03-10T23:00:00,2025-03-11T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,7.69,2025-03-11T07:00:00,2025-03-11T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,4.1,2025-03-11T11:00:00,2025-03-11T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,7.33,2025-03-11T15:00:00,2025-03-11T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.22,2025-03-11T19:00:00,2025-03-11T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.25,2025-03-15T11:00:00,2025-03-15T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.57,2025-03-15T07:00:00,2025-03-15T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,0.86,2025-03-15T15:00:00,2025-03-15T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.51,2025-03-15T19:00:00,2025-03-15T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.53,2025-03-14T23:00:00,2025-03-15T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.67,2025-03-15T03:00:00,2025-03-15T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,3.69,2025-03-15T07:00:00,2025-03-15T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,6.61,2025-03-15T15:00:00,2025-03-15T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.67,2025-03-15T11:00:00,2025-03-15T15:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2.54,2025-03-15T19:00:00,2025-03-15T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,0.79,2025-03-14T23:00:00,2025-03-15T03:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.59,2025-03-15T03:00:00,2025-03-15T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,4.3,2025-03-16T15:00:00,2025-03-16T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.76,2025-03-16T03:00:00,2025-03-16T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.1,2025-03-16T15:00:00,2025-03-16T19:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,2,2025-03-16T03:00:00,2025-03-16T07:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,2.5,2025-03-16T19:00:00,2025-03-16T23:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCL,5,8.45,2025-03-16T07:00:00,2025-03-16T11:00:00,,
CONRAD ENERGY (TRADING) LIMITED,MDSM-1,Response,DCH,5,1.13,2025-03-16T19:00:00,2025-03-16T23:00:00,,
